TEMP,MONTH,YEAR,STATE
53.4,MAY,2020,New Hampshire
54.5,MAY,2021,New Hampshire
57.1,MAY,2022,New Hampshire
59.1,MAY,2020,New Jersey
60.8,MAY,2021,New Jersey
63.1,MAY,2022,New Jersey
65.1,MAY,2020,New Mexico
62.7,MAY,2021,New Mexico
64.9,MAY,2022,New Mexico
54.2,MAY,2020,New York
54.7,MAY,2021,New York
58.5,MAY,2022,New York
63.6,MAY,2020,North Carolina
65.5,MAY,2021,North Carolina
68.9,MAY,2022,North Carolina
52.5,MAY,2020,North Dakota
52.8,MAY,2021,North Dakota
52.9,MAY,2022,North Dakota
58.4,MAY,2020,Ohio
58.8,MAY,2021,Ohio
63.8,MAY,2022,Ohio
67.2,MAY,2020,Oklahoma
65.9,MAY,2021,Oklahoma
70.6,MAY,2022,Oklahoma
52.6,MAY,2020,Oregon
52,MAY,2021,Oregon
47.7,MAY,2022,Oregon
56,MAY,2020,Pennsylvania
57,MAY,2021,Pennsylvania
60.5,MAY,2022,Pennsylvania
56.6,MAY,2020,Rhode Island
58,MAY,2021,Rhode Island
60.2,MAY,2022,Rhode Island
68,MAY,2020,South Carolina
69.1,MAY,2021,South Carolina
72.8,MAY,2022,South Carolina
54.2,MAY,2020,South Dakota
55,MAY,2021,South Dakota
55.4,MAY,2022,South Dakota
64,MAY,2020,Tennessee
64.1,MAY,2021,Tennessee
68.9,MAY,2022,Tennessee
74.6,MAY,2020,Texas
71.9,MAY,2021,Texas
77.9,MAY,2022,Texas
59,MAY,2020,Utah
57.1,MAY,2021,Utah
54.7,MAY,2022,Utah
52.6,MAY,2020,Vermont
53.3,MAY,2021,Vermont
56.8,MAY,2022,Vermont
60.5,MAY,2020,Virginia
62.3,MAY,2021,Virginia
65.1,MAY,2022,Virginia
53.3,MAY,2020,Washington
52.6,MAY,2021,Washington
48.4,MAY,2022,Washington
57.8,MAY,2020,West Virginia
58.7,MAY,2021,West Virginia
63,MAY,2022,West Virginia
54.1,MAY,2020,Wisconsin
54.9,MAY,2021,Wisconsin
57.2,MAY,2022,Wisconsin
50.3,MAY,2020,Wyoming
48.8,MAY,2021,Wyoming
46.7,MAY,2022,Wyoming
43.3,MAY,2020,Alaska
40.3,MAY,2021,Alaska
39.9,MAY,2022,Alaska
76.9,JUN,2020,Alabama
77,JUN,2021,Alabama
80.3,JUN,2022,Alabama
76.8,JUN,2020,Arizona
80.6,JUN,2021,Arizona
78.5,JUN,2022,Arizona
76.4,JUN,2020,Arkansas
76.9,JUN,2021,Arkansas
78.2,JUN,2022,Arkansas
70.4,JUN,2020,California
74.9,JUN,2021,California
72.1,JUN,2022,California
65,JUN,2020,Colorado
65.7,JUN,2021,Colorado
64.3,JUN,2022,Colorado
68.4,JUN,2020,Connecticut
69.2,JUN,2021,Connecticut
66.4,JUN,2022,Connecticut
73.7,JUN,2020,Delaware
73.8,JUN,2021,Delaware
71.8,JUN,2022,Delaware
81,JUN,2020,Florida
80.7,JUN,2021,Florida
81.9,JUN,2022,Florida
76.9,JUN,2020,Georgia
77,JUN,2021,Georgia
80.1,JUN,2022,Georgia
56.2,JUN,2020,Idaho
65.1,JUN,2021,Idaho
57.2,JUN,2022,Idaho
73.6,JUN,2020,Illinois
74.1,JUN,2021,Illinois
73.5,JUN,2022,Illinois
72.1,JUN,2020,Indiana
72.7,JUN,2021,Indiana
72.2,JUN,2022,Indiana
72.9,JUN,2020,Iowa
73.5,JUN,2021,Iowa
71.6,JUN,2022,Iowa
77.7,JUN,2020,Kansas
75.8,JUN,2021,Kansas
75.8,JUN,2022,Kansas
72.6,JUN,2020,Kentucky
73.4,JUN,2021,Kentucky
74.1,JUN,2022,Kentucky
79.7,JUN,2020,Louisiana
80.4,JUN,2021,Louisiana
82.7,JUN,2022,Louisiana
62.5,JUN,2020,Maine
64.9,JUN,2021,Maine
60.1,JUN,2022,Maine
72.7,JUN,2020,Maryland
73.1,JUN,2021,Maryland
72.1,JUN,2022,Maryland
67.6,JUN,2020,Massachusetts
69.2,JUN,2021,Massachusetts
65.5,JUN,2022,Massachusetts
66,JUN,2020,Michigan
67.8,JUN,2021,Michigan
65,JUN,2022,Michigan
67.7,JUN,2020,Minnesota
69.9,JUN,2021,Minnesota
